track,note,velocity,time,anomaly
1,72,50,240,0
1,72,0,240,0
1,72,50,0,0
1,72,0,240,0
1,72,50,0,0
1,72,0,240,0
1,72,52,0,0
1,72,0,120,0
1,74,47,0,0
1,74,0,40,0
1,72,46,0,0
1,72,0,40,0
1,71,46,0,0
1,71,0,40,0
1,72,52,0,0
1,77,39,120,2
1,77,40,0,0
1,77,0,120,0
1,72,44,0,0
1,72,43,120,1
1,69,43,120,0
1,69,0,240,0
1,72,48,0,0
1,72,0,240,0
1,64,44,0,0
1,64,0,240,0
1,67,53,0,0
1,67,0,480,0
1,64,106,360,3
1,65,0,240,0
1,60,40,0,0
1,65,73,0,0
1,65,0,240,0
1,60,0,0,0
1,53,51,0,1
1,67,75,0,0
1,67,0,240,0
1,64,0,0,0
1,60,40,0,0
1,65,52,0,0
1,69,76,0,0
1,69,0,240,0
1,65,0,0,0
1,60,22,114,2
1,65,63,0,0
1,70,77,0,0
1,70,0,360,0
1,65,0,0,0
1,72,61,0,0
1,72,0,60,0
1,74,57,0,0
1,74,0,60,0
1,72,55,0,0
1,72,0,120,0
1,62,80,60,3
1,65,0,240,0
1,58,25,360,2
1,64,52,0,0
1,64,0,240,0
1,70,97,660,3
1,65,44,240,1
1,59,0,0,0
1,60,32,0,0
1,65,32,0,0
1,69,47,0,0
1,69,0,480,0
1,65,0,0,0
1,67,46,0,0
1,64,21,0,0
1,64,0,240,0
1,67,0,0,0
1,64,115,6,3
1,67,0,240,0
1,60,0,0,0
1,67,59,0,0
1,67,0,240,0
1,67,65,0,0
1,67,0,180,0
1,67,66,0,0
1,67,0,60,0
1,79,74,0,0
1,79,0,360,0
1,74,50,0,0
1,74,0,60,0
1,71,46,0,0
1,71,0,60,0
1,67,48,5,1
1,67,0,240,0
1,67,55,0,0
1,67,0,240,0
1,55,127,0,2
1,67,0,240,0
1,67,69,0,0
1,67,0,180,0
1,67,68,0,0
1,67,0,60,0
1,79,73,0,0
1,79,0,660,0
1,81,56,0,0
1,86,27,180,3
1,83,49,0,0
1,83,0,30,0
1,84,55,0,0
1,79,41,470,3
1,83,49,0,0
1,83,0,120,0
1,81,55,0,0
1,78,25,240,3
1,79,46,0,0
1,79,0,120,0
1,77,51,0,0
1,77,0,120,0
1,76,47,0,0
1,76,0,120,0
1,73,52,0,0
1,72,37,8,3
1,74,48,0,0
1,74,0,120,0
1,77,49,0,0
1,77,0,120,0
1,81,46,0,0
1,86,47,5,3
1,72,54,0,0
1,72,0,720,0
1,76,48,0,0
1,71,37,30,1
1,76,0,120,0
1,74,47,0,0
1,74,0,120,0
1,71,0,0,0
1,72,47,0,0
1,72,0,480,0
1,72,50,240,0
1,72,0,240,0
1,72,50,30,1
1,72,0,240,0
1,72,50,0,0
1,72,0,240,0
1,72,52,0,0
1,72,0,120,0
1,74,47,0,0
1,74,0,40,0
1,72,46,0,0
1,72,0,40,0
1,71,46,0,0
1,71,47,0,2
1,72,52,0,0
1,85,74,120,2
1,77,43,0,0
1,77,0,120,0
1,72,47,0,0
1,72,0,120,0
1,69,47,120,0
1,69,0,240,0
1,72,48,0,0
1,72,0,60,1
1,64,45,0,0
1,64,0,240,0
1,67,54,0,0
1,67,0,480,0
1,65,48,0,0
1,65,0,240,0
1,60,40,0,0
1,65,73,0,0
1,65,0,720,1
1,60,0,0,0
1,64,51,0,0
1,67,75,0,0
1,67,0,240,0
1,64,0,0,0
1,65,87,360,2
1,60,40,0,0
1,69,76,0,0
1,69,0,240,0
1,60,0,0,0
1,65,0,0,0
1,65,63,0,0
1,70,77,0,0
1,70,0,360,0
1,65,0,0,0
1,72,59,0,0
1,72,0,60,0
1,74,56,0,0
1,74,0,60,0
1,72,56,0,0
1,72,0,120,0
1,65,97,60,2
1,65,0,240,0
1,59,31,0,0
1,64,52,0,0
1,64,0,240,0
1,65,45,0,0
1,65,0,240,0
1,59,0,0,0
1,66,32,0,1
1,65,32,0,0
1,69,47,0,0
1,69,0,480,0
1,65,0,0,0
1,64,31,0,0
1,67,46,0,0
1,67,0,240,0
1,64,47,0,1
1,67,54,0,0
1,67,0,240,0
1,60,0,0,0
1,67,59,0,0
1,67,0,240,0
1,67,65,360,1
1,67,0,180,0
1,67,66,0,0
1,67,0,110,1
1,79,74,0,0
1,79,48,360,1
1,74,50,0,0
1,74,0,60,0
1,83,66,0,2
1,71,0,60,0
1,67,51,0,0
1,67,0,240,0
1,73,59,0,1
1,67,0,240,0
1,67,63,0,0
1,67,0,240,0
1,67,107,0,1
1,67,0,180,0
1,67,68,0,0
1,67,0,60,0
1,79,73,0,0
1,79,0,660,0
1,81,56,0,0
1,81,0,30,0
1,83,49,0,0
1,83,0,30,0
1,84,53,0,0
1,84,0,120,0
1,83,49,0,0
1,83,0,120,0
1,81,75,0,1
1,81,0,120,0
1,79,49,0,0
1,79,0,120,0
1,66,51,0,1
1,77,0,120,0
1,76,50,0,0
1,76,0,120,0
1,73,52,0,0
1,73,0,120,0
1,74,48,0,0
1,74,0,120,0
1,77,49,0,0
1,77,0,120,0
1,81,48,0,0
1,81,0,120,0
1,66,101,30,3
1,72,0,720,0
1,63,85,0,2
1,71,43,0,0
1,76,0,120,0
1,74,47,0,0
1,74,0,120,0
1,71,0,0,0
1,72,47,0,0
1,72,57,480,1
1,59,87,480,3
1,72,0,240,0
1,74,54,0,0
1,72,50,120,0
1,74,0,10,0
1,67,92,110,2
1,72,0,10,0
1,69,49,110,0
1,70,0,10,0
1,67,61,110,0
1,69,0,10,0
1,66,20,240,3
1,66,81,30,2
1,66,0,240,0
1,66,63,0,0
1,60,49,112,3
1,67,65,0,0
1,78,54,0,3
1,66,52,0,0
1,69,66,0,0
1,74,0,180,1
1,79,73,0,2
1,66,51,60,0
1,69,122,0,1
1,69,0,480,0
1,66,0,0,0
1,67,45,0,0
1,70,56,0,0
1,69,71,114,3
1,67,0,0,0
1,64,51,24,0
1,63,38,240,2
1,65,55,0,0
1,65,0,240,0
1,64,53,0,0
1,67,53,0,0
1,66,55,40,3
1,64,0,0,0
1,65,55,60,0
1,66,119,0,2
1,64,0,235,2
1,70,68,0,0
1,65,57,235,3
1,72,124,0,1
1,72,0,240,0
1,73,70,0,0
1,73,0,240,0
1,76,72,0,0
1,74,58,120,0
1,76,0,10,0
1,66,39,110,2
1,72,65,0,0
1,74,0,10,0
1,67,127,240,2
1,70,55,0,0
1,72,0,10,0
1,65,46,110,0
1,69,57,0,0
1,70,0,10,0
1,67,0,0,0
1,65,0,470,0
1,75,65,112,3
1,64,40,0,0
1,67,51,0,0
1,67,0,240,0
1,64,0,0,0
1,72,65,0,0
1,72,0,240,0
1,72,66,0,0
1,66,42,240,2
1,73,72,0,1
1,72,0,235,1
1,72,81,0,0
1,76,81,0,1
1,82,0,720,0
1,81,69,0,0
1,81,0,240,0
1,79,70,0,0
1,70,58,0,0
1,70,0,240,0
1,79,0,0,0
1,69,56,0,0
1,77,66,0,0
1,76,48,110,3
1,69,0,0,0
1,77,66,0,0
1,67,55,0,0
1,77,0,480,0
1,76,126,114,2
1,76,0,240,0
1,75,51,0,0
1,75,0,240,0
1,67,0,0,0
1,72,0,0,0
1,75,48,0,0
1,75,0,240,0
1,88,47,0,1
1,75,0,240,0
1,75,39,0,0
1,75,0,30,0
1,77,40,0,0
1,77,0,30,0
1,75,42,0,0
1,75,0,30,0
1,77,42,0,0
1,77,0,30,0
1,75,42,0,0
1,75,77,30,1
1,77,42,0,0
1,77,0,30,0
1,75,39,0,0
1,75,0,30,0
1,77,38,0,0
1,77,0,30,0
1,75,46,0,0
1,75,0,120,0
1,77,50,0,0
1,77,0,120,0
1,79,55,0,0
1,79,0,240,0
1,77,54,0,0
1,77,0,120,0
1,75,116,0,1
1,75,0,120,0
1,86,73,5,3
1,75,0,120,0
1,74,49,0,0
1,74,0,114,0
1,74,52,6,0
1,74,0,120,0
1,73,50,0,0
1,73,0,240,1
1,73,55,8,0
1,78,46,660,3
1,68,107,110,3
1,74,0,240,0
1,77,54,0,0
1,77,0,120,0
1,76,51,0,0
1,76,0,120,0
1,79,59,0,0
1,79,0,120,0
1,77,53,240,1
1,89,0,720,2
1,76,54,0,0
1,76,0,120,0
1,74,49,0,0
1,74,0,112,0
1,74,80,8,1
1,74,0,10,1
1,72,48,0,0
1,72,0,240,0
1,77,57,110,1
1,77,0,180,0
1,72,51,0,0
1,72,0,60,0
1,68,91,0,2
1,81,0,180,0
1,77,58,0,0
1,77,0,60,0
1,72,66,0,0
1,72,0,180,0
1,69,57,0,0
1,69,0,60,0
1,72,69,0,0
1,72,0,360,0
1,71,55,0,0
1,71,0,120,0
1,70,55,0,0
1,70,0,240,0
1,67,75,0,0
1,64,67,0,0
1,64,0,180,0
1,60,64,0,0
1,73,37,470,3
1,66,38,5,3
1,65,69,0,0
1,69,76,0,0
1,65,0,180,0
1,60,65,0,0
1,60,0,60,0
1,69,0,0,0
1,70,78,0,0
1,67,70,0,0
1,67,0,180,0
1,60,69,0,0
1,60,0,60,0
1,70,0,0,0
1,69,70,0,0
1,72,80,0,0
1,61,0,120,1
1,73,127,120,3
1,74,0,120,0
1,69,0,0,0
1,76,54,0,0
1,76,0,120,0
1,65,102,24,3
1,77,0,120,0
1,60,38,0,0
1,65,49,0,0
1,59,66,120,3
1,60,0,0,0
1,64,37,0,0
1,69,47,0,0
1,69,0,120,0
1,80,107,240,3
1,68,57,110,3
1,64,0,0,0
1,65,87,0,1
1,65,0,480,0
1,75,50,0,1
1,72,0,240,0
1,74,54,0,0
1,72,50,120,0
1,74,0,10,0
1,70,103,5,2
1,71,23,112,3
1,69,49,110,0
1,70,0,10,0
1,73,105,110,2
1,69,0,10,0
1,67,0,470,0
1,66,51,0,0
1,66,0,235,0
1,66,63,5,0
1,61,0,110,2
1,67,65,0,0
1,67,0,240,0
1,66,52,0,0
1,69,66,0,0
1,69,0,180,0
1,66,0,0,0
1,66,51,60,0
1,69,65,0,0
1,69,0,480,0
1,66,0,0,0
